cell,source,region,radius,n,entropy_effective_rank,stable_rank,variance_explained_pc1,variance_explained_pc1_pc2,variance_explained_pc1_pc2_pc3,null_a_effective_rank_mean,null_a_observed_lower_than_95pct_of_null,null_b_effective_rank_mean
stage8:language:0.0035698828543799426,stage8,language,0.0035698828543799426,64,2.5660872347902974,1.6455903869047566,0.6076846388735485,0.8749379529935594,0.9929784345388466,2.5611317383323855,False,2.5459751996498605
stage8:language:0.017849414271899712,stage8,language,0.017849414271899712,64,3.2918612094365693,1.8703194252089554,0.5346680286380912,0.8246643297883277,0.9086103311850197,3.2736668253728736,False,3.2403234095738744
stage8:language:0.07139765708759885,stage8,language,0.07139765708759885,64,4.000749457501169,2.5926498818747308,0.3857057626604428,0.7382638052136976,0.8772507727359533,4.079357008754633,False,4.0147525518239355
stage8:multimodal_connector_or_merger:0.0035698828543799426,stage8,multimodal_connector_or_merger,0.0035698828543799426,64,2.669302969366948,1.9386899416320564,0.5158122392475846,0.8622095396499867,1.0,2.6438393038793566,False,2.619480970722472
stage8:multimodal_connector_or_merger:0.017849414271899712,stage8,multimodal_connector_or_merger,0.017849414271899712,64,2.5618730924450146,1.6690141802799943,0.5991560837621163,0.845159031068075,1.0,2.6404857376913635,True,2.617963357464596
stage8:multimodal_connector_or_merger:0.07139765708759885,stage8,multimodal_connector_or_merger,0.07139765708759885,64,2.907954294465344,1.9613673041565838,0.5098484092606074,0.8631451874773973,0.9581922538890296,2.9096622143177573,False,2.8849615697997955
stage8:vision:0.0035698828543799426,stage8,vision,0.0035698828543799426,64,2.9891951168350026,1.736135120453319,0.5759920343866392,0.8038733516661768,0.9562011354264753,2.9475759815723466,False,2.926633182693204
stage8:vision:0.017849414271899712,stage8,vision,0.017849414271899712,64,3.1937965837430284,1.651581228184965,0.6054803620521699,0.7599208910434596,0.8778263411364838,3.1914873895333367,False,3.179098805908589
stage8:vision:0.07139765708759885,stage8,vision,0.07139765708759885,64,4.367518939814058,2.141630104430395,0.4669340414721,0.6786565020481096,0.7935578825563949,4.305070727632235,False,4.255925978100068
stage9:language_early:0.0035698828543799426,stage9,language_early,0.0035698828543799426,64,2.7381944100902103,1.9761276324971024,0.5060401886776745,0.8701584535293915,0.992128963118014,2.698185566281457,False,2.6741752419498788
stage9:language_early:0.017849414271899712,stage9,language_early,0.017849414271899712,64,3.829927753353938,2.273194511521653,0.43990956116228264,0.7397968890059781,0.8848895947154202,3.76682603988209,False,3.720056256500702
stage9:language_early:0.07139765708759885,stage9,language_early,0.07139765708759885,64,3.7385536047676746,1.9309033600308525,0.5178923092163564,0.7394752844572472,0.8870837770438544,4.168169635488272,True,4.104922289331144
stage9:language_late:0.0035698828543799426,stage9,language_late,0.0035698828543799426,64,2.1047699959469033,1.4802840939242763,0.6755460010037471,0.9635419812630941,1.0,2.2035694352672035,True,2.1868043481705137
stage9:language_late:0.017849414271899712,stage9,language_late,0.017849414271899712,64,2.9216097082240866,1.5902451592494362,0.6288338588447456,0.8501273985009459,0.908445858695341,2.890620872258015,False,2.874863949076054
stage9:language_late:0.07139765708759885,stage9,language_late,0.07139765708759885,64,3.886765674692506,2.0527342090310454,0.48715512977787373,0.7056780699453361,0.8641994605225755,3.9092886047396425,False,3.859891356227146
stage9:language_mid:0.0035698828543799426,stage9,language_mid,0.0035698828543799426,64,2.5185587950898918,1.9176707107105821,0.5214659609779698,0.909911635044405,1.0,2.565777274070456,False,2.54045691224601
stage9:language_mid:0.017849414271899712,stage9,language_mid,0.017849414271899712,64,2.874290306601151,2.1122771495321944,0.4734227230652331,0.8767456452963655,0.9601921599471355,2.8395715929989485,False,2.8153971296514655
stage9:language_mid:0.07139765708759885,stage9,language_mid,0.07139765708759885,64,2.905705886301977,1.5789224731087477,0.6333433192771621,0.8659132109231891,0.9236490562336133,3.0402770229445064,True,3.026486409459578
stage9:vision_early:0.0035698828543799426,stage9,vision_early,0.0035698828543799426,64,2.958926956823386,1.7726488480174345,0.5641275208671022,0.8166838621709814,0.9539510363314274,2.95674047139249,False,2.9341015175600775
