cell,spectral_discordance,tradeoff_fraction,entropy_effective_rank,stable_rank,pc1_variance
stage8:language:0.0035698828543799426,0.703464590964591,0.28125,2.5660872347902974,1.6455903869047566,0.6076846388735485
stage8:language:0.017849414271899712,0.9239041514041515,0.53125,3.2918612094365693,1.8703194252089554,0.5346680286380912
stage8:language:0.07139765708759885,1.0339896214896216,0.828125,4.000749457501169,2.5926498818747308,0.3857057626604428
stage8:multimodal_connector_or_merger:0.0035698828543799426,0.6437912087912089,0.078125,2.669302969366948,1.9386899416320564,0.5158122392475846
stage8:multimodal_connector_or_merger:0.017849414271899712,0.6549358974358976,0.296875,2.5618730924450146,1.6690141802799943,0.5991560837621163
stage8:multimodal_connector_or_merger:0.07139765708759885,0.6416330891330891,0.234375,2.907954294465344,1.9613673041565838,0.5098484092606074
stage8:vision:0.0035698828543799426,0.6559096459096461,0.265625,2.9891951168350026,1.736135120453319,0.5759920343866392
stage8:vision:0.017849414271899712,0.7988553113553114,0.40625,3.1937965837430284,1.651581228184965,0.6054803620521699
stage8:vision:0.07139765708759885,0.94248778998779,0.71875,4.367518939814058,2.141630104430395,0.4669340414721
stage9:language_early:0.0035698828543799426,0.598330280830281,0.265625,2.7381944100902103,1.9761276324971024,0.5060401886776745
stage9:language_early:0.017849414271899712,0.8366514041514042,0.421875,3.829927753353938,2.273194511521653,0.43990956116228264
stage9:language_early:0.07139765708759885,0.9815873015873016,0.90625,3.7385536047676746,1.9309033600308525,0.5178923092163564
stage9:language_late:0.0035698828543799426,0.4183211233211235,0.125,2.1047699959469033,1.4802840939242763,0.6755460010037471
stage9:language_late:0.017849414271899712,0.7343620268620269,0.40625,2.9216097082240866,1.5902451592494362,0.6288338588447456
stage9:language_late:0.07139765708759885,0.9137545787545788,0.609375,3.886765674692506,2.0527342090310454,0.48715512977787373
stage9:language_mid:0.0035698828543799426,0.5627350427350428,0.171875,2.5185587950898918,1.9176707107105821,0.5214659609779698
stage9:language_mid:0.017849414271899712,0.7193345543345544,0.265625,2.874290306601151,2.1122771495321944,0.4734227230652331
stage9:language_mid:0.07139765708759885,0.9898809523809524,0.6875,2.905705886301977,1.5789224731087477,0.6333433192771621
stage9:vision_early:0.0035698828543799426,0.6666880341880342,0.28125,2.958926956823386,1.7726488480174345,0.5641275208671022
stage9:vision_early:0.017849414271899712,0.7484523809523809,0.328125,3.5431029010276482,2.0138657110388025,0.4965574390182029
stage9:vision_early:0.07139765708759885,0.8647100122100122,0.546875,3.946189349166397,1.9222944309053587,0.520211672011671
stage9:vision_late:0.0035698828543799426,0.6185225885225887,0.3125,2.4908516649052737,1.4901922720734493,0.6710543456305829
stage9:vision_late:0.017849414271899712,0.706608669108669,0.421875,2.906808692778925,1.5943392650562882,0.6272190755865847
stage9:vision_late:0.07139765708759885,0.9673778998778999,0.5625,4.288044268305727,2.2244699645366506,0.4495452921111014
stage9:vision_mid:0.0035698828543799426,0.5005830280830281,0.375,2.1129066155656053,1.3589201967883404,0.7358783851791966
stage9:vision_mid:0.017849414271899712,0.7408577533577535,0.328125,2.8184389326753667,1.606472548034148,0.6224818477126841
stage9:vision_mid:0.07139765708759885,0.9814468864468865,0.546875,3.4241716756198626,1.6388198419683044,0.6101951992471302
