cell,source,region,radius,k1_first_angle_cosine_mean,k1_procrustes_similarity_mean,k2_first_angle_cosine_mean,k3_first_angle_cosine_mean
stage8:language:0.0035698828543799426,stage8,language,0.0035698828543799426,0.9488488312886098,0.8597377299185035,0.9993977525723381,1.0
stage8:language:0.017849414271899712,stage8,language,0.017849414271899712,0.9030590299994609,0.800844031847943,0.9934133572540668,0.9997620901207047
stage8:language:0.07139765708759885,stage8,language,0.07139765708759885,0.2996368396204966,0.4201449046814188,0.9882571596756847,0.9984239978689783
stage8:multimodal_connector_or_merger:0.0035698828543799426,stage8,multimodal_connector_or_merger,0.0035698828543799426,0.8176508898254765,0.7395941432999539,1.0,1.0
stage8:multimodal_connector_or_merger:0.017849414271899712,stage8,multimodal_connector_or_merger,0.017849414271899712,0.9526639335851905,0.861941018848575,1.0,1.0
stage8:multimodal_connector_or_merger:0.07139765708759885,stage8,multimodal_connector_or_merger,0.07139765708759885,0.7488474599852455,0.6781350688242896,0.9977814107256774,1.0
stage8:vision:0.0035698828543799426,stage8,vision,0.0035698828543799426,0.9383771111484678,0.8396392217134937,0.9971996694091011,1.0
stage8:vision:0.017849414271899712,stage8,vision,0.017849414271899712,0.9687104190871565,0.8819424470723954,0.9854483935995006,0.9993643918248005
stage8:vision:0.07139765708759885,stage8,vision,0.07139765708759885,0.9204113464655638,0.812713705096056,0.9727502391022952,0.9955300814248941
stage9:language_early:0.0035698828543799426,stage9,language_early,0.0035698828543799426,0.765723001202773,0.6839585463186828,0.9991651669575751,1.0
stage9:language_early:0.017849414271899712,stage9,language_early,0.017849414271899712,0.7910206054609037,0.706686515009393,0.9877306005840663,0.999645320222798
stage9:language_early:0.07139765708759885,stage9,language_early,0.07139765708759885,0.8446648674070703,0.7465034270414378,0.9861175119168997,0.9985328774433504
stage9:language_late:0.0035698828543799426,stage9,language_late,0.0035698828543799426,0.9668656533576447,0.8937245225010968,1.0,1.0
stage9:language_late:0.017849414271899712,stage9,language_late,0.017849414271899712,0.962155551196478,0.8772770611825378,0.9960519566525622,1.0
stage9:language_late:0.07139765708759885,stage9,language_late,0.07139765708759885,0.9320577940856061,0.8267564118274454,0.9821200818437547,0.9988962942108016
stage9:language_mid:0.0035698828543799426,stage9,language_mid,0.0035698828543799426,0.6968444774175515,0.6492032727522635,1.0,1.0
stage9:language_mid:0.017849414271899712,stage9,language_mid,0.017849414271899712,0.4841002671492484,0.5211375602766849,0.9985779737195385,1.0
stage9:language_mid:0.07139765708759885,stage9,language_mid,0.07139765708759885,0.9613297795996886,0.8754282265674823,0.9945794233008293,0.9991284883325602
stage9:vision_early:0.0035698828543799426,stage9,vision_early,0.0035698828543799426,0.9401012008993993,0.8453013262452057,0.9971667265727016,1.0
stage9:vision_early:0.017849414271899712,stage9,vision_early,0.017849414271899712,0.906389799499965,0.8016374211440208,0.9893134340551183,1.0
stage9:vision_early:0.07139765708759885,stage9,vision_early,0.07139765708759885,0.9513113550057736,0.8547357631474433,0.9837128782139952,0.9978691105849599
stage9:vision_late:0.0035698828543799426,stage9,vision_late,0.0035698828543799426,0.9700414566881393,0.8888110927792332,0.9980086993474147,1.0
stage9:vision_late:0.017849414271899712,stage9,vision_late,0.017849414271899712,0.9701319015411005,0.8881517512055244,0.9946703940304802,1.0
stage9:vision_late:0.07139765708759885,stage9,vision_late,0.07139765708759885,0.8993863564080182,0.7966399329136626,0.9760654307460811,0.997966409021544
stage9:vision_mid:0.0035698828543799426,stage9,vision_mid,0.0035698828543799426,0.9815757796787815,0.9152625762272727,1.0,1.0
stage9:vision_mid:0.017849414271899712,stage9,vision_mid,0.017849414271899712,0.9579539637360134,0.8694699901529644,0.995670662345182,1.0
stage9:vision_mid:0.07139765708759885,stage9,vision_mid,0.07139765708759885,0.9738879545105763,0.8927617455671304,0.9907013702948072,0.9988331032988438
