scale,capability,region,radius,radius_label,n,mean_delta,median_delta,std_delta,min_delta,max_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass,q25,q50,q75,q90,q95
3B,visual_grounding,vision,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,counting,vision,0.0035698828543799426,small,64,0.00812499999999996,0.0,0.010439558180306247,-0.020000000000000018,0.019999999999999907,0.421875,0.984375,0.0,0.0,0.00843749999999996,0.0003125000000000003,0.0,0.0,0.019999999999999907,0.019999999999999907,0.019999999999999907
3B,spatial_reasoning,vision,0.0035698828543799426,small,64,-0.0024999999999999727,0.0,0.015206906325745522,-0.039999999999999925,0.020000000000000018,0.1875,0.734375,0.1875,0.0,0.0037500000000000033,0.006249999999999976,-0.019999999999999907,0.0,0.0,0.020000000000000018,0.020000000000000018
3B,ocr_text_recognition_grounded,vision,0.0035698828543799426,small,64,-0.002187500000000002,0.0,0.0062421826110744365,-0.020000000000000018,0.0,0.0,0.890625,0.0,0.0,0.0,0.002187500000000002,0.0,0.0,0.0,0.0,0.0
3B,relational_reasoning,vision,0.0035698828543799426,small,64,-0.006875000000000011,0.0,0.023774658252012804,-0.040000000000000036,0.07999999999999996,0.21875,0.53125,0.21875,0.015625,0.0059375,0.012812500000000011,-0.020000000000000018,0.0,0.0,0.020000000000000018,0.020000000000000018
3B,fine_grained_recognition,vision,0.0035698828543799426,small,64,-0.0003124999999999994,0.0,0.0024803918541230485,-0.019999999999999962,0.0,0.0,0.984375,0.0,0.0,0.0,0.0003124999999999994,0.0,0.0,0.0,0.0,0.0
3B,visual_grounding,vision,0.017849414271899712,mid,64,-0.0003125000000000003,0.0,0.002480391854123056,-0.020000000000000018,0.0,0.0,0.984375,0.0,0.0,0.0,0.0003125000000000003,0.0,0.0,0.0,0.0,0.0
3B,counting,vision,0.017849414271899712,mid,64,0.0043749999999999675,0.0,0.014347800354061215,-0.040000000000000036,0.039999999999999925,0.328125,0.90625,0.015625,0.0,0.00687499999999997,0.0025000000000000022,0.0,0.0,0.019999999999999907,0.019999999999999907,0.019999999999999907
3B,spatial_reasoning,vision,0.017849414271899712,mid,64,-0.0012499999999999734,0.0,0.013169567191065896,-0.019999999999999907,0.020000000000000018,0.1875,0.75,0.1875,0.0,0.0037500000000000033,0.004999999999999977,-0.004999999999999977,0.0,0.0,0.020000000000000018,0.020000000000000018
3B,ocr_text_recognition_grounded,vision,0.017849414271899712,mid,64,-0.0077812500000000034,0.0,0.010989296994689878,-0.039999999999999925,0.0020000000000000018,0.015625,0.640625,0.0,0.0,3.125000000000003e-05,0.007812500000000003,-0.020000000000000018,0.0,0.0,0.0,0.0
