capability,region,radius,radius_label,scale,density_ge_0.02
visual_grounding,vision,0.0035698828543799426,small,3B,0.0
counting,vision,0.0035698828543799426,small,3B,0.0
spatial_reasoning,vision,0.0035698828543799426,small,3B,0.1875
ocr_text_recognition_grounded,vision,0.0035698828543799426,small,3B,0.0
relational_reasoning,vision,0.0035698828543799426,small,3B,0.21875
fine_grained_recognition,vision,0.0035698828543799426,small,3B,0.0
visual_grounding,vision,0.017849414271899712,mid,3B,0.0
counting,vision,0.017849414271899712,mid,3B,0.015625
spatial_reasoning,vision,0.017849414271899712,mid,3B,0.1875
ocr_text_recognition_grounded,vision,0.017849414271899712,mid,3B,0.0
relational_reasoning,vision,0.017849414271899712,mid,3B,0.40625
fine_grained_recognition,vision,0.017849414271899712,mid,3B,0.0
visual_grounding,vision,0.07139765708759885,transition,3B,0.328125
counting,vision,0.07139765708759885,transition,3B,0.03125
spatial_reasoning,vision,0.07139765708759885,transition,3B,0.203125
ocr_text_recognition_grounded,vision,0.07139765708759885,transition,3B,0.09375
relational_reasoning,vision,0.07139765708759885,transition,3B,0.53125
fine_grained_recognition,vision,0.07139765708759885,transition,3B,0.03125
visual_grounding,multimodal_connector_or_merger,0.0035698828543799426,small,3B,0.0
counting,multimodal_connector_or_merger,0.0035698828543799426,small,3B,0.0
spatial_reasoning,multimodal_connector_or_merger,0.0035698828543799426,small,3B,0.125
ocr_text_recognition_grounded,multimodal_connector_or_merger,0.0035698828543799426,small,3B,0.0
relational_reasoning,multimodal_connector_or_merger,0.0035698828543799426,small,3B,0.328125
fine_grained_recognition,multimodal_connector_or_merger,0.0035698828543799426,small,3B,0.0
visual_grounding,multimodal_connector_or_merger,0.017849414271899712,mid,3B,0.0
counting,multimodal_connector_or_merger,0.017849414271899712,mid,3B,0.0
spatial_reasoning,multimodal_connector_or_merger,0.017849414271899712,mid,3B,0.234375
ocr_text_recognition_grounded,multimodal_connector_or_merger,0.017849414271899712,mid,3B,0.0
relational_reasoning,multimodal_connector_or_merger,0.017849414271899712,mid,3B,0.171875
fine_grained_recognition,multimodal_connector_or_merger,0.017849414271899712,mid,3B,0.0
visual_grounding,multimodal_connector_or_merger,0.07139765708759885,transition,3B,0.0
counting,multimodal_connector_or_merger,0.07139765708759885,transition,3B,0.0
spatial_reasoning,multimodal_connector_or_merger,0.07139765708759885,transition,3B,0.265625
ocr_text_recognition_grounded,multimodal_connector_or_merger,0.07139765708759885,transition,3B,0.0
relational_reasoning,multimodal_connector_or_merger,0.07139765708759885,transition,3B,0.125
fine_grained_recognition,multimodal_connector_or_merger,0.07139765708759885,transition,3B,0.0
visual_grounding,language,0.0035698828543799426,small,3B,0.0
counting,language,0.0035698828543799426,small,3B,0.0
spatial_reasoning,language,0.0035698828543799426,small,3B,0.25
ocr_text_recognition_grounded,language,0.0035698828543799426,small,3B,0.0
relational_reasoning,language,0.0035698828543799426,small,3B,0.140625
fine_grained_recognition,language,0.0035698828543799426,small,3B,0.0
visual_grounding,language,0.017849414271899712,mid,3B,0.015625
counting,language,0.017849414271899712,mid,3B,0.015625
spatial_reasoning,language,0.017849414271899712,mid,3B,0.703125
