capability,radius,radius_label,dominant_region_3B,dominant_region_7B,classification
visual_grounding,0.0035698828543799426,small,,,diffuse_no_clear_preference
visual_grounding,0.017849414271899712,mid,,language,diffuse_no_clear_preference
visual_grounding,0.07139765708759885,transition,,,diffuse_no_clear_preference
counting,0.0035698828543799426,small,,,diffuse_no_clear_preference
counting,0.017849414271899712,mid,,,diffuse_no_clear_preference
counting,0.07139765708759885,transition,,,diffuse_no_clear_preference
spatial_reasoning,0.0035698828543799426,small,,vision,diffuse_no_clear_preference
spatial_reasoning,0.017849414271899712,mid,language,,diffuse_no_clear_preference
spatial_reasoning,0.07139765708759885,transition,language,vision,anatomical_preference_reorganizes
ocr_text_recognition_grounded,0.0035698828543799426,small,,,diffuse_no_clear_preference
ocr_text_recognition_grounded,0.017849414271899712,mid,,,diffuse_no_clear_preference
ocr_text_recognition_grounded,0.07139765708759885,transition,,,diffuse_no_clear_preference
relational_reasoning,0.0035698828543799426,small,,,diffuse_no_clear_preference
relational_reasoning,0.017849414271899712,mid,,language,diffuse_no_clear_preference
relational_reasoning,0.07139765708759885,transition,vision,,diffuse_no_clear_preference
fine_grained_recognition,0.0035698828543799426,small,,,diffuse_no_clear_preference
fine_grained_recognition,0.017849414271899712,mid,,,diffuse_no_clear_preference
fine_grained_recognition,0.07139765708759885,transition,,,diffuse_no_clear_preference
