scale,region,radius,radius_label,macro_density_ge_0.02
3B,vision,0.0035698828543799426,small,0.06770833333333333
3B,vision,0.017849414271899712,mid,0.1015625
3B,vision,0.07139765708759885,transition,0.203125
3B,multimodal_connector_or_merger,0.0035698828543799426,small,0.07552083333333333
3B,multimodal_connector_or_merger,0.017849414271899712,mid,0.06770833333333333
3B,multimodal_connector_or_merger,0.07139765708759885,transition,0.06510416666666667
3B,language,0.0035698828543799426,small,0.06510416666666667
3B,language,0.017849414271899712,mid,0.19010416666666666
3B,language,0.07139765708759885,transition,0.19270833333333334
7B,vision,0.0035698828543799426,small,0.08072916666666667
7B,vision,0.017849414271899712,mid,0.15104166666666666
7B,vision,0.07139765708759885,transition,0.3255208333333333
7B,multimodal_connector_or_merger,0.0035698828543799426,small,0.0390625
7B,multimodal_connector_or_merger,0.017849414271899712,mid,0.041666666666666664
7B,multimodal_connector_or_merger,0.07139765708759885,transition,0.07291666666666667
7B,language,0.0035698828543799426,small,0.06510416666666667
7B,language,0.017849414271899712,mid,0.22395833333333334
7B,language,0.07139765708759885,transition,0.2942708333333333
