region,radius,radius_label,scale,spectral_discordance
vision,0.0035698828543799426,small,3B,0.643968253968254
vision,0.0035698828543799426,small,7B,0.6258363858363858
vision,0.017849414271899712,mid,3B,0.8584676434676436
vision,0.017849414271899712,mid,7B,0.9029639804639805
vision,0.07139765708759885,transition,3B,0.946602564102564
vision,0.07139765708759885,transition,7B,0.998998778998779
multimodal_connector_or_merger,0.0035698828543799426,small,3B,0.5575183150183152
multimodal_connector_or_merger,0.0035698828543799426,small,7B,0.3880006105006105
multimodal_connector_or_merger,0.017849414271899712,mid,3B,0.5582295482295483
multimodal_connector_or_merger,0.017849414271899712,mid,7B,0.37766788766788795
multimodal_connector_or_merger,0.07139765708759885,transition,3B,0.6341117216117218
multimodal_connector_or_merger,0.07139765708759885,transition,7B,0.5623687423687425
language,0.0035698828543799426,small,3B,0.6473046398046399
language,0.0035698828543799426,small,7B,0.4512148962148963
language,0.017849414271899712,mid,3B,0.8628083028083029
language,0.017849414271899712,mid,7B,0.7964896214896215
language,0.07139765708759885,transition,3B,1.0153785103785105
language,0.07139765708759885,transition,7B,1.0146642246642248
