scale,capability,radius,radius_label,n,mean_delta,median_delta,std_delta,min_delta,max_delta,p_delta_gt_0,p_delta_lt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass,q25,q50,q75,q90,q95
3B,visual_grounding,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,counting,0.0035698828543799426,small,64,0.00843749999999996,0.0,0.009877175393299395,0.0,0.019999999999999907,0.421875,0.0,1.0,0.0,0.0,0.00843749999999996,0.0,0.0,0.0,0.019999999999999907,0.019999999999999907,0.019999999999999907
3B,spatial_reasoning,0.0035698828543799426,small,64,-0.0012499999999999647,0.0,0.01653594569415366,-0.039999999999999925,0.040000000000000036,0.265625,0.328125,0.671875,0.265625,0.0,0.005625000000000005,0.00687499999999997,-0.019999999999999907,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018
3B,ocr_text_recognition_grounded,0.0035698828543799426,small,64,-0.0014687500000000013,0.0,0.005411124969680524,-0.020000000000000018,0.0020000000000000018,0.046875,0.078125,0.921875,0.0,0.0,9.375000000000008e-05,0.0015625000000000014,0.0,0.0,0.0,0.0,0.0
3B,relational_reasoning,0.0035698828543799426,small,64,-0.006875000000000015,0.0,0.02455064917675295,-0.06000000000000005,0.039999999999999925,0.21875,0.421875,0.578125,0.21875,0.0,0.005937499999999997,0.012812500000000011,-0.020000000000000018,0.0,0.0,0.020000000000000018,0.039999999999999925
3B,fine_grained_recognition,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,visual_grounding,0.017849414271899712,mid,64,-0.0018750000000000017,0.0,0.0068179450716473276,-0.020000000000000018,0.020000000000000018,0.015625,0.109375,0.890625,0.015625,0.0,0.0003125000000000003,0.002187500000000002,0.0,0.0,0.0,0.0,0.0
3B,counting,0.017849414271899712,mid,64,0.004062499999999967,0.0,0.01507468386899039,-0.040000000000000036,0.039999999999999925,0.328125,0.140625,0.859375,0.03125,0.0,0.00718749999999997,0.0031250000000000028,0.0,0.0,0.019999999999999907,0.019999999999999907,0.019999999999999907
3B,spatial_reasoning,0.017849414271899712,mid,64,0.01781250000000003,0.020000000000000018,0.03184281463297489,-0.07999999999999996,0.10000000000000009,0.640625,0.140625,0.859375,0.640625,0.125,0.02312500000000002,0.005312499999999989,0.0,0.020000000000000018,0.040000000000000036,0.06000000000000005,0.06000000000000005
3B,ocr_text_recognition_grounded,0.017849414271899712,mid,64,-0.011781249999999983,-0.017999999999999905,0.013702724124695042,-0.039999999999999925,0.020000000000000018,0.140625,0.53125,0.46875,0.015625,0.0,0.0005625000000000005,0.012343749999999983,-0.020000000000000018,-0.017999999999999905,0.0,0.0020000000000000018,0.0020000000000000018
3B,relational_reasoning,0.017849414271899712,mid,64,0.008749999999999973,0.0,0.03585997071945262,-0.08000000000000002,0.07999999999999996,0.484375,0.328125,0.671875,0.484375,0.15625,0.019374999999999983,0.01062500000000001,-0.020000000000000018,0.0,0.039999999999999925,0.05999999999999994,0.05999999999999994
3B,fine_grained_recognition,0.017849414271899712,mid,64,-0.010312499999999987,0.0,0.01457402977045126,-0.03999999999999998,0.020000000000000018,0.015625,0.40625,0.59375,0.015625,0.0,0.0003125000000000003,0.010624999999999987,-0.019999999999999962,0.0,0.0,0.0,0.0
3B,visual_grounding,0.07139765708759885,transition,64,-0.006250000000000004,0.0,0.025217801252290027,-0.14,0.040000000000000036,0.1875,0.375,0.625,0.1875,0.0,0.004687500000000004,0.010937500000000008,-0.020000000000000018,0.0,0.0,0.020000000000000018,0.020000000000000018
3B,counting,0.07139765708759885,transition,64,-0.011875000000000037,-0.020000000000000018,0.03096747285459373,-0.08000000000000007,0.05999999999999994,0.234375,0.53125,0.46875,0.109375,0.015625,0.00718749999999998,0.019062500000000017,-0.040000000000000036,-0.020000000000000018,0.0,0.033999999999999975,0.039999999999999925
3B,spatial_reasoning,0.07139765708759885,transition,64,-0.020312499999999956,0.0,0.08143188775749952,-0.33999999999999997,0.14,0.46875,0.46875,0.53125,0.46875,0.109375,0.019375000000000017,0.03968749999999997,-0.05999999999999994,0.0,0.040000000000000036,0.054000000000000103,0.08000000000000007
3B,ocr_text_recognition_grounded,0.07139765708759885,transition,64,-0.04318749999999995,-0.043999999999999984,0.030870128664292933,-0.10799999999999998,0.020000000000000018,0.109375,0.875,0.125,0.03125,0.0,0.000875000000000006,0.04406249999999995,-0.05999999999999994,-0.043999999999999984,-0.020000000000000018,0.001400000000000007,0.004000000000000115
3B,relational_reasoning,0.07139765708759885,transition,64,-0.030312500000000027,-0.030000000000000027,0.06354055668429417,-0.16000000000000003,0.14,0.296875,0.59375,0.40625,0.296875,0.09375,0.013124999999999993,0.04343750000000002,-0.08000000000000002,-0.030000000000000027,0.020000000000000018,0.039999999999999925,0.05999999999999994
3B,fine_grained_recognition,0.07139765708759885,transition,64,-0.05156249999999997,-0.03999999999999998,0.043560975583083535,-0.19999999999999998,0.040000000000000036,0.078125,0.875,0.125,0.078125,0.0,0.002187500000000002,0.05374999999999998,-0.07999999999999996,-0.03999999999999998,-0.019999999999999962,0.0,0.020000000000000018
7B,visual_grounding,0.0035698828543799426,small,64,0.0046875000000000284,0.0,0.017586282829239366,-0.019999999999999907,0.040000000000000036,0.375,0.21875,0.78125,0.375,0.0,0.009062500000000008,0.00437499999999998,0.0,0.0,0.020000000000000018,0.020000000000000018,0.040000000000000036
7B,counting,0.0035698828543799426,small,64,-0.009999999999999962,0.0,0.012747548783981924,-0.039999999999999925,0.0,0.0,0.421875,0.578125,0.0,0.0,0.0,0.009999999999999962,-0.019999999999999907,0.0,0.0,0.0,0.0
7B,spatial_reasoning,0.0035698828543799426,small,64,0.0028125000000000025,0.0,0.00695268608165219,0.0,0.020000000000000018,0.140625,0.0,1.0,0.140625,0.0,0.0028125000000000025,0.0,0.0,0.0,0.0,0.020000000000000018,0.020000000000000018
7B,ocr_text_recognition_grounded,0.0035698828543799426,small,64,-0.0003125000000000003,0.0,0.002480391854123056,-0.020000000000000018,0.0,0.0,0.015625,0.984375,0.0,0.0,0.0,0.0003125000000000003,0.0,0.0,0.0,0.0,0.0
