scale,capability,radius,radius_label,margin,density
3B,visual_grounding,0.0035698828543799426,small,0.0,1.0
3B,visual_grounding,0.0035698828543799426,small,0.02,0.0
3B,visual_grounding,0.0035698828543799426,small,0.04,0.0
3B,visual_grounding,0.0035698828543799426,small,0.05,0.0
3B,visual_grounding,0.0035698828543799426,small,0.06,0.0
3B,visual_grounding,0.0035698828543799426,small,0.08,0.0
3B,visual_grounding,0.0035698828543799426,small,0.1,0.0
3B,visual_grounding,0.0035698828543799426,small,0.12,0.0
3B,visual_grounding,0.0035698828543799426,small,0.14,0.0
3B,visual_grounding,0.017849414271899712,mid,0.0,0.890625
3B,visual_grounding,0.017849414271899712,mid,0.02,0.015625
3B,visual_grounding,0.017849414271899712,mid,0.04,0.0
3B,visual_grounding,0.017849414271899712,mid,0.05,0.0
3B,visual_grounding,0.017849414271899712,mid,0.06,0.0
3B,visual_grounding,0.017849414271899712,mid,0.08,0.0
3B,visual_grounding,0.017849414271899712,mid,0.1,0.0
3B,visual_grounding,0.017849414271899712,mid,0.12,0.0
3B,visual_grounding,0.017849414271899712,mid,0.14,0.0
3B,visual_grounding,0.07139765708759885,transition,0.0,0.625
3B,visual_grounding,0.07139765708759885,transition,0.02,0.1875
3B,visual_grounding,0.07139765708759885,transition,0.04,0.046875
3B,visual_grounding,0.07139765708759885,transition,0.05,0.0
3B,visual_grounding,0.07139765708759885,transition,0.06,0.0
3B,visual_grounding,0.07139765708759885,transition,0.08,0.0
3B,visual_grounding,0.07139765708759885,transition,0.1,0.0
3B,visual_grounding,0.07139765708759885,transition,0.12,0.0
3B,visual_grounding,0.07139765708759885,transition,0.14,0.0
3B,counting,0.0035698828543799426,small,0.0,1.0
3B,counting,0.0035698828543799426,small,0.02,0.0
3B,counting,0.0035698828543799426,small,0.04,0.0
3B,counting,0.0035698828543799426,small,0.05,0.0
3B,counting,0.0035698828543799426,small,0.06,0.0
3B,counting,0.0035698828543799426,small,0.08,0.0
3B,counting,0.0035698828543799426,small,0.1,0.0
3B,counting,0.0035698828543799426,small,0.12,0.0
3B,counting,0.0035698828543799426,small,0.14,0.0
3B,counting,0.017849414271899712,mid,0.0,0.859375
3B,counting,0.017849414271899712,mid,0.02,0.03125
3B,counting,0.017849414271899712,mid,0.04,0.0
3B,counting,0.017849414271899712,mid,0.05,0.0
3B,counting,0.017849414271899712,mid,0.06,0.0
3B,counting,0.017849414271899712,mid,0.08,0.0
3B,counting,0.017849414271899712,mid,0.1,0.0
3B,counting,0.017849414271899712,mid,0.12,0.0
3B,counting,0.017849414271899712,mid,0.14,0.0
3B,counting,0.07139765708759885,transition,0.0,0.46875
3B,counting,0.07139765708759885,transition,0.02,0.109375
3B,counting,0.07139765708759885,transition,0.04,0.015625
3B,counting,0.07139765708759885,transition,0.05,0.015625
3B,counting,0.07139765708759885,transition,0.06,0.0
3B,counting,0.07139765708759885,transition,0.08,0.0
3B,counting,0.07139765708759885,transition,0.1,0.0
3B,counting,0.07139765708759885,transition,0.12,0.0
3B,counting,0.07139765708759885,transition,0.14,0.0
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.671875
3B,spatial_reasoning,0.0035698828543799426,small,0.02,0.265625
3B,spatial_reasoning,0.0035698828543799426,small,0.04,0.015625
3B,spatial_reasoning,0.0035698828543799426,small,0.05,0.0
3B,spatial_reasoning,0.0035698828543799426,small,0.06,0.0
3B,spatial_reasoning,0.0035698828543799426,small,0.08,0.0
3B,spatial_reasoning,0.0035698828543799426,small,0.1,0.0
3B,spatial_reasoning,0.0035698828543799426,small,0.12,0.0
3B,spatial_reasoning,0.0035698828543799426,small,0.14,0.0
3B,spatial_reasoning,0.017849414271899712,mid,0.0,0.859375
3B,spatial_reasoning,0.017849414271899712,mid,0.02,0.640625
3B,spatial_reasoning,0.017849414271899712,mid,0.04,0.34375
3B,spatial_reasoning,0.017849414271899712,mid,0.05,0.125
3B,spatial_reasoning,0.017849414271899712,mid,0.06,0.125
3B,spatial_reasoning,0.017849414271899712,mid,0.08,0.03125
3B,spatial_reasoning,0.017849414271899712,mid,0.1,0.015625
3B,spatial_reasoning,0.017849414271899712,mid,0.12,0.0
3B,spatial_reasoning,0.017849414271899712,mid,0.14,0.0
3B,spatial_reasoning,0.07139765708759885,transition,0.0,0.53125
3B,spatial_reasoning,0.07139765708759885,transition,0.02,0.46875
3B,spatial_reasoning,0.07139765708759885,transition,0.04,0.265625
3B,spatial_reasoning,0.07139765708759885,transition,0.05,0.109375
3B,spatial_reasoning,0.07139765708759885,transition,0.06,0.109375
3B,spatial_reasoning,0.07139765708759885,transition,0.08,0.078125
3B,spatial_reasoning,0.07139765708759885,transition,0.1,0.015625
3B,spatial_reasoning,0.07139765708759885,transition,0.12,0.015625
3B,spatial_reasoning,0.07139765708759885,transition,0.14,0.015625
3B,ocr_text_recognition_grounded,0.0035698828543799426,small,0.0,0.921875
3B,ocr_text_recognition_grounded,0.0035698828543799426,small,0.02,0.0
3B,ocr_text_recognition_grounded,0.0035698828543799426,small,0.04,0.0
3B,ocr_text_recognition_grounded,0.0035698828543799426,small,0.05,0.0
3B,ocr_text_recognition_grounded,0.0035698828543799426,small,0.06,0.0
3B,ocr_text_recognition_grounded,0.0035698828543799426,small,0.08,0.0
3B,ocr_text_recognition_grounded,0.0035698828543799426,small,0.1,0.0
3B,ocr_text_recognition_grounded,0.0035698828543799426,small,0.12,0.0
3B,ocr_text_recognition_grounded,0.0035698828543799426,small,0.14,0.0
3B,ocr_text_recognition_grounded,0.017849414271899712,mid,0.0,0.46875
3B,ocr_text_recognition_grounded,0.017849414271899712,mid,0.02,0.015625
3B,ocr_text_recognition_grounded,0.017849414271899712,mid,0.04,0.0
3B,ocr_text_recognition_grounded,0.017849414271899712,mid,0.05,0.0
3B,ocr_text_recognition_grounded,0.017849414271899712,mid,0.06,0.0
3B,ocr_text_recognition_grounded,0.017849414271899712,mid,0.08,0.0
3B,ocr_text_recognition_grounded,0.017849414271899712,mid,0.1,0.0
3B,ocr_text_recognition_grounded,0.017849414271899712,mid,0.12,0.0
3B,ocr_text_recognition_grounded,0.017849414271899712,mid,0.14,0.0
3B,ocr_text_recognition_grounded,0.07139765708759885,transition,0.0,0.125
3B,ocr_text_recognition_grounded,0.07139765708759885,transition,0.02,0.03125
3B,ocr_text_recognition_grounded,0.07139765708759885,transition,0.04,0.0
3B,ocr_text_recognition_grounded,0.07139765708759885,transition,0.05,0.0
3B,ocr_text_recognition_grounded,0.07139765708759885,transition,0.06,0.0
3B,ocr_text_recognition_grounded,0.07139765708759885,transition,0.08,0.0
3B,ocr_text_recognition_grounded,0.07139765708759885,transition,0.1,0.0
3B,ocr_text_recognition_grounded,0.07139765708759885,transition,0.12,0.0
3B,ocr_text_recognition_grounded,0.07139765708759885,transition,0.14,0.0
3B,relational_reasoning,0.0035698828543799426,small,0.0,0.578125
3B,relational_reasoning,0.0035698828543799426,small,0.02,0.21875
3B,relational_reasoning,0.0035698828543799426,small,0.04,0.0
3B,relational_reasoning,0.0035698828543799426,small,0.05,0.0
3B,relational_reasoning,0.0035698828543799426,small,0.06,0.0
3B,relational_reasoning,0.0035698828543799426,small,0.08,0.0
3B,relational_reasoning,0.0035698828543799426,small,0.1,0.0
3B,relational_reasoning,0.0035698828543799426,small,0.12,0.0
3B,relational_reasoning,0.0035698828543799426,small,0.14,0.0
3B,relational_reasoning,0.017849414271899712,mid,0.0,0.671875
3B,relational_reasoning,0.017849414271899712,mid,0.02,0.484375
3B,relational_reasoning,0.017849414271899712,mid,0.04,0.15625
3B,relational_reasoning,0.017849414271899712,mid,0.05,0.15625
3B,relational_reasoning,0.017849414271899712,mid,0.06,0.015625
3B,relational_reasoning,0.017849414271899712,mid,0.08,0.0
3B,relational_reasoning,0.017849414271899712,mid,0.1,0.0
3B,relational_reasoning,0.017849414271899712,mid,0.12,0.0
3B,relational_reasoning,0.017849414271899712,mid,0.14,0.0
3B,relational_reasoning,0.07139765708759885,transition,0.0,0.40625
3B,relational_reasoning,0.07139765708759885,transition,0.02,0.296875
3B,relational_reasoning,0.07139765708759885,transition,0.04,0.09375
3B,relational_reasoning,0.07139765708759885,transition,0.05,0.09375
3B,relational_reasoning,0.07139765708759885,transition,0.06,0.03125
3B,relational_reasoning,0.07139765708759885,transition,0.08,0.03125
3B,relational_reasoning,0.07139765708759885,transition,0.1,0.015625
3B,relational_reasoning,0.07139765708759885,transition,0.12,0.015625
3B,relational_reasoning,0.07139765708759885,transition,0.14,0.015625
3B,fine_grained_recognition,0.0035698828543799426,small,0.0,1.0
3B,fine_grained_recognition,0.0035698828543799426,small,0.02,0.0
3B,fine_grained_recognition,0.0035698828543799426,small,0.04,0.0
3B,fine_grained_recognition,0.0035698828543799426,small,0.05,0.0
3B,fine_grained_recognition,0.0035698828543799426,small,0.06,0.0
3B,fine_grained_recognition,0.0035698828543799426,small,0.08,0.0
3B,fine_grained_recognition,0.0035698828543799426,small,0.1,0.0
3B,fine_grained_recognition,0.0035698828543799426,small,0.12,0.0
3B,fine_grained_recognition,0.0035698828543799426,small,0.14,0.0
3B,fine_grained_recognition,0.017849414271899712,mid,0.0,0.59375
