scale,radius,radius_label,margin,macro_density,ci_lo,ci_hi
3B,0.0035698828543799426,small,0.0,0.8619791666666666,0.828125,0.8958333333333334
3B,0.0035698828543799426,small,0.02,0.08072916666666667,0.0546875,0.10677083333333333
3B,0.0035698828543799426,small,0.04,0.0026041666666666665,0.0,0.0078125
3B,0.0035698828543799426,small,0.05,0.0,0.0,0.0
3B,0.0035698828543799426,small,0.06,0.0,0.0,0.0
3B,0.0035698828543799426,small,0.08,0.0,0.0,0.0
3B,0.0035698828543799426,small,0.1,0.0,0.0,0.0
3B,0.0035698828543799426,small,0.12,0.0,0.0,0.0
3B,0.0035698828543799426,small,0.14,0.0,0.0,0.0
3B,0.017849414271899712,mid,0.0,0.7239583333333334,0.6770833333333334,0.7682291666666666
3B,0.017849414271899712,mid,0.02,0.20052083333333334,0.171875,0.23177083333333334
3B,0.017849414271899712,mid,0.04,0.08333333333333333,0.059895833333333336,0.109375
3B,0.017849414271899712,mid,0.05,0.046875,0.028645833333333332,0.06770833333333333
3B,0.017849414271899712,mid,0.06,0.0234375,0.010416666666666666,0.0390625
3B,0.017849414271899712,mid,0.08,0.005208333333333333,0.0,0.013020833333333334
3B,0.017849414271899712,mid,0.1,0.0026041666666666665,0.0,0.0078125
3B,0.017849414271899712,mid,0.12,0.0,0.0,0.0
3B,0.017849414271899712,mid,0.14,0.0,0.0,0.0
3B,0.07139765708759885,transition,0.0,0.3802083333333333,0.3385416666666667,0.4244791666666667
3B,0.07139765708759885,transition,0.02,0.1953125,0.15885416666666666,0.234375
3B,0.07139765708759885,transition,0.04,0.07552083333333333,0.049479166666666664,0.10416666666666667
3B,0.07139765708759885,transition,0.05,0.036458333333333336,0.018229166666666668,0.0546875
3B,0.07139765708759885,transition,0.06,0.0234375,0.010416666666666666,0.0390625
3B,0.07139765708759885,transition,0.08,0.018229166666666668,0.0078125,0.03125
3B,0.07139765708759885,transition,0.1,0.005208333333333333,0.0,0.013020833333333334
3B,0.07139765708759885,transition,0.12,0.005208333333333333,0.0,0.013020833333333334
3B,0.07139765708759885,transition,0.14,0.005208333333333333,0.0,0.013020833333333334
7B,0.0035698828543799426,small,0.0,0.7786458333333334,0.7447916666666666,0.8125
7B,0.0035698828543799426,small,0.02,0.08854166666666667,0.06503906250000006,0.11458333333333333
7B,0.0035698828543799426,small,0.04,0.013020833333333334,0.0026041666666666665,0.026041666666666668
7B,0.0035698828543799426,small,0.05,0.0,0.0,0.0
7B,0.0035698828543799426,small,0.06,0.0,0.0,0.0
7B,0.0035698828543799426,small,0.08,0.0,0.0,0.0
7B,0.0035698828543799426,small,0.1,0.0,0.0,0.0
7B,0.0035698828543799426,small,0.12,0.0,0.0,0.0
7B,0.0035698828543799426,small,0.14,0.0,0.0,0.0
7B,0.017849414271899712,mid,0.0,0.6614583333333334,0.6276041666666666,0.6953125
7B,0.017849414271899712,mid,0.02,0.2109375,0.17447916666666666,0.24739583333333334
7B,0.017849414271899712,mid,0.04,0.03125,0.015625,0.049479166666666664
7B,0.017849414271899712,mid,0.05,0.005208333333333333,0.0,0.013020833333333334
7B,0.017849414271899712,mid,0.06,0.0026041666666666665,0.0,0.0078125
7B,0.017849414271899712,mid,0.08,0.0,0.0,0.0
7B,0.017849414271899712,mid,0.1,0.0,0.0,0.0
7B,0.017849414271899712,mid,0.12,0.0,0.0,0.0
7B,0.017849414271899712,mid,0.14,0.0,0.0,0.0
7B,0.07139765708759885,transition,0.0,0.484375,0.4479166666666667,0.5208333333333334
7B,0.07139765708759885,transition,0.02,0.2890625,0.2552083333333333,0.3229166666666667
7B,0.07139765708759885,transition,0.04,0.15104166666666666,0.12239583333333333,0.18229166666666666
7B,0.07139765708759885,transition,0.05,0.07291666666666667,0.046875,0.09895833333333333
7B,0.07139765708759885,transition,0.06,0.0625,0.0390625,0.0859375
7B,0.07139765708759885,transition,0.08,0.020833333333333332,0.0078125,0.0390625
7B,0.07139765708759885,transition,0.1,0.0,0.0,0.0
7B,0.07139765708759885,transition,0.12,0.0,0.0,0.0
7B,0.07139765708759885,transition,0.14,0.0,0.0,0.0
