capability,radius_label,scale,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass
visual_grounding,small,3B,0.0,0.0,0.0,0.0
visual_grounding,mid,3B,0.015625,0.0,0.0003125000000000003,0.002187500000000002
visual_grounding,transition,3B,0.1875,0.0,0.004687500000000004,0.010937500000000008
visual_grounding,small,7B,0.375,0.0,0.009062500000000008,0.00437499999999998
visual_grounding,mid,7B,0.546875,0.015625,0.014687500000000013,0.0018749999999999913
visual_grounding,transition,7B,0.84375,0.21875,0.03375000000000003,0.0006249999999999971
counting,small,3B,0.0,0.0,0.00843749999999996,0.0
counting,mid,3B,0.03125,0.0,0.00718749999999997,0.0031250000000000028
counting,transition,3B,0.109375,0.015625,0.00718749999999998,0.019062500000000017
counting,small,7B,0.0,0.0,0.0,0.009999999999999962
counting,mid,7B,0.0,0.0,0.0,0.035624999999999934
counting,transition,7B,0.0,0.0,0.0,0.06906249999999994
spatial_reasoning,small,3B,0.265625,0.0,0.005625000000000005,0.00687499999999997
spatial_reasoning,mid,3B,0.640625,0.125,0.02312500000000002,0.005312499999999989
spatial_reasoning,transition,3B,0.46875,0.109375,0.019375000000000017,0.03968749999999997
spatial_reasoning,small,7B,0.140625,0.0,0.0028125000000000025,0.0
spatial_reasoning,mid,7B,0.390625,0.0,0.007812500000000007,0.0003125000000000003
spatial_reasoning,transition,7B,0.296875,0.015625,0.008437500000000007,0.016562499999999987
ocr_text_recognition_grounded,small,3B,0.0,0.0,9.375000000000008e-05,0.0015625000000000014
ocr_text_recognition_grounded,mid,3B,0.015625,0.0,0.0005625000000000005,0.012343749999999983
ocr_text_recognition_grounded,transition,3B,0.03125,0.0,0.000875000000000006,0.04406249999999995
ocr_text_recognition_grounded,small,7B,0.0,0.0,0.0,0.0003125000000000003
ocr_text_recognition_grounded,mid,7B,0.03125,0.0,0.0006874999999999971,0.009781250000000005
ocr_text_recognition_grounded,transition,7B,0.078125,0.0,0.0032187499999999907,0.025125000000000022
relational_reasoning,small,3B,0.21875,0.0,0.005937499999999997,0.012812500000000011
relational_reasoning,mid,3B,0.484375,0.15625,0.019374999999999983,0.01062500000000001
relational_reasoning,transition,3B,0.296875,0.09375,0.013124999999999993,0.04343750000000002
relational_reasoning,small,7B,0.015625,0.0,0.0003125000000000003,0.017187500000000015
relational_reasoning,mid,7B,0.265625,0.015625,0.007499999999999996,0.016562500000000015
relational_reasoning,transition,7B,0.15625,0.078125,0.007187499999999994,0.03750000000000002
fine_grained_recognition,small,3B,0.0,0.0,0.0,0.0
fine_grained_recognition,mid,3B,0.015625,0.0,0.0003125000000000003,0.010624999999999987
fine_grained_recognition,transition,3B,0.078125,0.0,0.002187500000000002,0.05374999999999998
fine_grained_recognition,small,7B,0.0,0.0,0.0,0.0012500000000000011
fine_grained_recognition,mid,7B,0.03125,0.0,0.005312499999999992,0.002187500000000002
fine_grained_recognition,transition,7B,0.359375,0.125,0.024374999999999987,0.005937500000000004
