capability,radius,radius_label,density_diff_7B_minus_3B
visual_grounding,0.0035698828543799426,small,0.375
visual_grounding,0.017849414271899712,mid,0.53125
visual_grounding,0.07139765708759885,transition,0.65625
counting,0.0035698828543799426,small,0.0
counting,0.017849414271899712,mid,-0.03125
counting,0.07139765708759885,transition,-0.109375
spatial_reasoning,0.0035698828543799426,small,-0.125
spatial_reasoning,0.017849414271899712,mid,-0.25
spatial_reasoning,0.07139765708759885,transition,-0.171875
ocr_text_recognition_grounded,0.0035698828543799426,small,0.0
ocr_text_recognition_grounded,0.017849414271899712,mid,0.015625
ocr_text_recognition_grounded,0.07139765708759885,transition,0.046875
relational_reasoning,0.0035698828543799426,small,-0.203125
relational_reasoning,0.017849414271899712,mid,-0.21875
relational_reasoning,0.07139765708759885,transition,-0.140625
fine_grained_recognition,0.0035698828543799426,small,0.0
fine_grained_recognition,0.017849414271899712,mid,0.015625
fine_grained_recognition,0.07139765708759885,transition,0.28125
