capability,radius,radius_label,mean_delta_diff_7B_minus_3B,median_delta_diff_7B_minus_3B,positive_mass_diff_7B_minus_3B,negative_mass_diff_7B_minus_3B,q90_diff_7B_minus_3B,q95_diff_7B_minus_3B,wasserstein_1_distance,wasserstein_1_bh_q_value,distribution_shift_significant_fdr_0.05,shift_pattern
visual_grounding,0.0035698828543799426,small,0.0046875000000000284,0.0,0.009062500000000008,0.00437499999999998,0.020000000000000018,0.040000000000000036,0.013437499999999988,0.0,True,sparse_tail_shift_only
visual_grounding,0.017849414271899712,mid,0.014687500000000023,0.020000000000000018,0.014375000000000013,-0.0003125000000000107,0.040000000000000036,0.040000000000000036,0.014687500000000023,0.0,True,whole_distribution_and_tail_shift
visual_grounding,0.07139765708759885,transition,0.039375000000000035,0.040000000000000036,0.029062500000000026,-0.010312500000000011,0.040000000000000036,0.05699999999999994,0.039375000000000035,0.0,True,whole_distribution_and_tail_shift
counting,0.0035698828543799426,small,-0.018437499999999923,0.0,-0.00843749999999996,0.009999999999999962,-0.019999999999999907,-0.019999999999999907,0.018437499999999923,0.0,True,no_meaningful_shift
counting,0.017849414271899712,mid,-0.0396874999999999,-0.039999999999999925,-0.00718749999999997,0.03249999999999993,-0.019999999999999907,-0.019999999999999907,0.0396874999999999,0.0,True,whole_distribution_shift
counting,0.07139765708759885,transition,-0.057187499999999905,-0.04999999999999993,-0.00718749999999998,0.049999999999999926,-0.05399999999999988,-0.05999999999999983,0.05718749999999992,0.0,True,whole_distribution_and_tail_shift
spatial_reasoning,0.0035698828543799426,small,0.004062499999999967,0.0,-0.0028125000000000025,-0.00687499999999997,0.0,0.0,0.009687499999999972,0.0,True,no_meaningful_shift
spatial_reasoning,0.017849414271899712,mid,-0.010312500000000023,-0.020000000000000018,-0.015312500000000014,-0.004999999999999989,-0.040000000000000036,-0.040000000000000036,0.020312500000000004,0.0,True,whole_distribution_and_tail_shift
spatial_reasoning,0.07139765708759885,transition,0.012187499999999978,0.0,-0.01093750000000001,-0.023124999999999986,-0.020000000000000018,-0.040000000000000036,0.03406250000000001,0.00225,True,sparse_tail_shift_only
ocr_text_recognition_grounded,0.0035698828543799426,small,0.001156250000000001,0.0,-9.375000000000008e-05,-0.0012500000000000011,0.0,0.0,0.0013437500000000012,0.08639999999999999,False,no_meaningful_shift
ocr_text_recognition_grounded,0.017849414271899712,mid,0.0026874999999999746,0.017999999999999905,0.00012499999999999664,-0.002562499999999978,-0.0020000000000000018,-0.0020000000000000018,0.0033124999999999925,0.2776,False,no_meaningful_shift
ocr_text_recognition_grounded,0.07139765708759885,transition,0.02128124999999992,0.023999999999999966,0.0023437499999999847,-0.018937499999999927,0.009399999999999936,0.015999999999999903,0.02128124999999992,0.0,True,whole_distribution_shift
relational_reasoning,0.0035698828543799426,small,-0.01,-0.020000000000000018,-0.005624999999999996,0.004375000000000004,-0.020000000000000018,-0.039999999999999925,0.011875000000000002,0.0037384615384615386,True,whole_distribution_and_tail_shift
relational_reasoning,0.017849414271899712,mid,-0.01781249999999999,0.0,-0.011874999999999986,0.005937500000000005,-0.039999999999999925,-0.020000000000000018,0.018437499999999992,0.0045,True,sparse_tail_shift_only
relational_reasoning,0.07139765708759885,transition,0.0,0.010000000000000009,-0.005937499999999998,-0.005937499999999998,-0.005999999999999915,0.0,0.015625,0.27635294117647063,False,no_meaningful_shift
fine_grained_recognition,0.0035698828543799426,small,-0.0012500000000000011,0.0,0.0,0.0012500000000000011,0.0,0.0,0.0012500000000000011,0.1337625,False,no_meaningful_shift
fine_grained_recognition,0.017849414271899712,mid,0.013437499999999977,0.0,0.004999999999999991,-0.008437499999999985,0.019999999999999962,0.019999999999999962,0.013437499999999977,0.0,True,no_meaningful_shift
fine_grained_recognition,0.07139765708759885,transition,0.06999999999999995,0.05999999999999994,0.022187499999999985,-0.04781249999999997,0.06,0.056999999999999884,0.06999999999999995,0.0,True,whole_distribution_and_tail_shift
