capability,radius,region_a,region_b,mean_delta_diff,mean_delta_diff_bh_q,density_ge_0.02_diff,density_ge_0.02_diff_bh_q,positive_thicket_mass_diff,positive_thicket_mass_diff_bh_q
counting,0.0035698828543799426,vision,multimodal_connector_or_merger,0.0037499999999999808,0.09720000000000001,0.0,1.0,0.004062499999999981,0.069525
counting,0.0035698828543799426,vision,language,0.002187499999999988,0.4576909090909091,0.0,1.0,0.0024999999999999883,0.43785
counting,0.0035698828543799426,multimodal_connector_or_merger,language,-0.0015624999999999927,0.565785,0.0,1.0,-0.0015624999999999927,0.7319612903225806
counting,0.017849414271899712,vision,multimodal_connector_or_merger,-0.0015625000000000049,0.5477538461538461,0.015625,1.0,0.0009374999999999974,0.9194999999999999
counting,0.017849414271899712,vision,language,-0.003437499999999998,0.19150714285714285,0.0,1.0,-0.0009374999999999956,0.9752684210526317
counting,0.017849414271899712,multimodal_connector_or_merger,language,-0.001874999999999993,0.498864705882353,-0.015625,1.0,-0.001874999999999993,0.6154071428571429
counting,0.07139765708759885,vision,multimodal_connector_or_merger,-0.013750000000000009,0.0,0.03125,1.0,3.469446951953614e-18,1.0
counting,0.07139765708759885,vision,language,-0.005937499999999988,0.3081375,-0.0625,0.7433099999999999,-0.0043749999999999865,0.1449
counting,0.07139765708759885,multimodal_connector_or_merger,language,0.00781250000000002,0.054,-0.09375,0.12004615384615384,-0.00437499999999999,0.061919999999999996
fine_grained_recognition,0.0035698828543799426,vision,multimodal_connector_or_merger,-0.0003124999999999994,1.0,0.0,1.0,0.0,1.0
fine_grained_recognition,0.0035698828543799426,vision,language,-0.0003124999999999994,1.0,0.0,1.0,0.0,1.0
fine_grained_recognition,0.0035698828543799426,multimodal_connector_or_merger,language,0.0,1.0,0.0,1.0,0.0,1.0
fine_grained_recognition,0.017849414271899712,vision,multimodal_connector_or_merger,-0.0012499999999999976,0.206941935483871,0.0,1.0,0.0,1.0
fine_grained_recognition,0.017849414271899712,vision,language,0.007499999999999989,0.00045000000000000004,0.0,1.0,0.0,1.0
fine_grained_recognition,0.017849414271899712,multimodal_connector_or_merger,language,0.008749999999999987,0.0,0.0,1.0,0.0,1.0
fine_grained_recognition,0.07139765708759885,vision,multimodal_connector_or_merger,-0.017187499999999984,0.0,0.03125,1.0,0.0006250000000000006,0.8000181818181819
fine_grained_recognition,0.07139765708759885,vision,language,0.030624999999999996,0.0,-0.03125,1.0,-0.0015625000000000005,0.693248275862069
fine_grained_recognition,0.07139765708759885,multimodal_connector_or_merger,language,0.04781249999999998,0.0,-0.0625,0.38689411764705883,-0.002187500000000001,0.30645
ocr_text_recognition_grounded,0.0035698828543799426,vision,multimodal_connector_or_merger,-0.002187500000000002,0.037529999999999994,0.0,1.0,0.0,1.0
ocr_text_recognition_grounded,0.0035698828543799426,vision,language,-0.0019687500000000017,0.03637894736842105,0.0,1.0,-9.375000000000008e-05,0.4926
ocr_text_recognition_grounded,0.0035698828543799426,multimodal_connector_or_merger,language,0.0002187500000000002,1.0,0.0,1.0,-9.375000000000008e-05,0.4926
ocr_text_recognition_grounded,0.017849414271899712,vision,multimodal_connector_or_merger,-0.0077812500000000034,0.0,0.0,1.0,3.125000000000003e-05,1.0
ocr_text_recognition_grounded,0.017849414271899712,vision,language,-0.0005625000000000126,0.958131818181818,0.0,1.0,-0.0003437500000000003,0.00765
ocr_text_recognition_grounded,0.017849414271899712,multimodal_connector_or_merger,language,0.007218749999999991,0.0,0.0,1.0,-0.00037500000000000033,0.0
ocr_text_recognition_grounded,0.07139765708759885,vision,multimodal_connector_or_merger,-0.007531249999999986,0.002025,0.09375,0.12004615384615384,0.0020000000000000035,0.012876923076923076
ocr_text_recognition_grounded,0.07139765708759885,vision,language,0.030624999999999954,0.0,0.078125,0.38689411764705883,0.0015937500000000014,0.16967368421052634
ocr_text_recognition_grounded,0.07139765708759885,multimodal_connector_or_merger,language,0.03815624999999994,0.0,-0.015625,1.0,-0.0004062500000000021,0.4926
relational_reasoning,0.0035698828543799426,vision,multimodal_connector_or_merger,-0.008125000000000007,0.06902608695652174,-0.109375,0.649421052631579,-0.0015625000000000014,0.8000181818181819
relational_reasoning,0.0035698828543799426,vision,language,0.0040625,0.5238,0.078125,0.9300857142857143,0.002812499999999999,0.43785
relational_reasoning,0.0035698828543799426,multimodal_connector_or_merger,language,0.012187500000000007,0.001157142857142857,0.1875,0.10014545454545455,0.004375,0.05631428571428571
relational_reasoning,0.017849414271899712,vision,multimodal_connector_or_merger,0.007499999999999991,0.19150714285714285,0.234375,0.04474285714285714,0.008437499999999992,0.00486
relational_reasoning,0.017849414271899712,vision,language,-0.004687500000000001,0.5477538461538461,0.0,1.0,-0.0021874999999999985,0.8487257142857143
relational_reasoning,0.017849414271899712,multimodal_connector_or_merger,language,-0.012187499999999992,0.029700000000000004,-0.234375,0.045899999999999996,-0.01062499999999999,0.0024000000000000002
relational_reasoning,0.07139765708759885,vision,multimodal_connector_or_merger,0.019687499999999976,0.002025,0.40625,0.0,0.020312499999999976,0.0
relational_reasoning,0.07139765708759885,vision,language,0.034999999999999996,0.001157142857142857,0.25,0.046799999999999994,0.00999999999999999,0.10387058823529412
relational_reasoning,0.07139765708759885,multimodal_connector_or_merger,language,0.015312500000000019,0.09827999999999999,-0.15625,0.17897142857142856,-0.010312499999999988,0.00765
spatial_reasoning,0.0035698828543799426,vision,multimodal_connector_or_merger,0.0018749999999999913,0.6675906976744186,0.0625,1.0,0.0009375000000000008,0.9537567567567568
spatial_reasoning,0.0035698828543799426,vision,language,-0.0021875000000000037,0.5477538461538461,-0.0625,1.0,-0.0015625000000000014,0.7319612903225806
