capability,anatomy_region,radius,n,mean_delta,median_delta,std_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass
visual_grounding,vision,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,vision,0.017849414271899712,64,-0.0003125000000000003,0.0,0.002480391854123056,0.0,0.984375,0.0,0.0,0.0,0.0003125000000000003
visual_grounding,vision,0.07139765708759885,64,0.004062500000000004,0.0,0.012835345486195542,0.328125,0.875,0.328125,0.0,0.006562500000000006,0.0025000000000000022
visual_grounding,multimodal_connector_or_merger,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,multimodal_connector_or_merger,0.017849414271899712,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,multimodal_connector_or_merger,0.07139765708759885,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,language,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,language,0.017849414271899712,64,0.0003125000000000003,0.0,0.002480391854123056,0.015625,1.0,0.015625,0.0,0.0003125000000000003,0.0
visual_grounding,language,0.07139765708759885,64,-0.0037500000000000033,0.0,0.016909686573085867,0.203125,0.6875,0.203125,0.0,0.004062500000000004,0.007812500000000007
counting,vision,0.0035698828543799426,64,0.00812499999999996,0.0,0.010439558180306247,0.421875,0.984375,0.0,0.0,0.00843749999999996,0.0003125000000000003
counting,vision,0.017849414271899712,64,0.0043749999999999675,0.0,0.014347800354061215,0.328125,0.90625,0.015625,0.0,0.00687499999999997,0.0025000000000000022
counting,vision,0.07139765708759885,64,-0.009687500000000028,-0.020000000000000018,0.01936239509332457,0.171875,0.421875,0.03125,0.0,0.0040624999999999845,0.013750000000000012
counting,multimodal_connector_or_merger,0.0035698828543799426,64,0.00437499999999998,0.0,0.008267972847076808,0.21875,1.0,0.0,0.0,0.00437499999999998,0.0
counting,multimodal_connector_or_merger,0.017849414271899712,64,0.005937499999999972,0.0,0.00913761969825836,0.296875,1.0,0.0,0.0,0.005937499999999972,0.0
counting,multimodal_connector_or_merger,0.07139765708759885,64,0.004062499999999981,0.0,0.008046495743489795,0.203125,1.0,0.0,0.0,0.004062499999999981,0.0
counting,language,0.0035698828543799426,64,0.005937499999999972,0.0,0.009137619698258362,0.296875,1.0,0.0,0.0,0.005937499999999972,0.0
