capability,anatomy_region,radius,n,mean_delta,median_delta,std_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass
visual_grounding,vision_early,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,vision_early,0.017849414271899712,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,vision_early,0.07139765708759885,64,-0.004062500000000004,0.0,0.01071196031312664,0.0625,0.734375,0.0625,0.0,0.0012500000000000011,0.005312500000000005
visual_grounding,vision_mid,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,vision_mid,0.017849414271899712,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,vision_mid,0.07139765708759885,64,-0.0009375000000000008,0.0,0.00823839145404005,0.0625,0.890625,0.0625,0.0,0.0012500000000000011,0.002187500000000002
visual_grounding,vision_late,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,vision_late,0.017849414271899712,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,vision_late,0.07139765708759885,64,-0.0006250000000000006,0.0,0.00704339229349041,0.046875,0.921875,0.046875,0.0,0.0009375000000000008,0.0015625000000000014
visual_grounding,language_early,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,language_early,0.017849414271899712,64,0.0003125000000000003,0.0,0.002480391854123056,0.015625,1.0,0.015625,0.0,0.0003125000000000003,0.0
visual_grounding,language_early,0.07139765708759885,64,-0.0003125000000000003,0.0,0.01639061755242921,0.234375,0.75,0.234375,0.0,0.005312500000000005,0.005625000000000005
visual_grounding,language_mid,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,language_mid,0.017849414271899712,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,language_mid,0.07139765708759885,64,-0.0015625000000000014,0.0,0.0101886502418132,0.078125,0.859375,0.078125,0.0,0.0015625000000000014,0.0031250000000000028
visual_grounding,language_late,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,language_late,0.017849414271899712,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
visual_grounding,language_late,0.07139765708759885,64,0.0031250000000000028,0.0,0.009499177595981673,0.203125,0.953125,0.203125,0.0,0.004062500000000004,0.0009375000000000008
counting,vision_early,0.0035698828543799426,64,0.00843749999999996,0.0,0.009877175393299397,0.421875,1.0,0.0,0.0,0.00843749999999996,0.0
counting,vision_early,0.017849414271899712,64,0.007187499999999963,0.0,0.011920144451725368,0.390625,0.953125,0.015625,0.0,0.008124999999999964,0.0009375000000000008
counting,vision_early,0.07139765708759885,64,-0.00687500000000003,0.0,0.018781224001645884,0.21875,0.546875,0.0,0.0,0.00437499999999998,0.01125000000000001
counting,vision_mid,0.0035698828543799426,64,0.007499999999999965,0.0,0.009682458365518497,0.375,1.0,0.0,0.0,0.007499999999999965,0.0
counting,vision_mid,0.017849414271899712,64,0.006562499999999968,0.0,0.01003412147375141,0.34375,0.984375,0.0,0.0,0.006874999999999968,0.0003125000000000003
