capability,child_region,parent_region,radius,child_density_ge_0.02,parent_density_ge_0.02,density_ratio_child_over_parent,child_positive_thicket_mass,parent_positive_thicket_mass,mass_ratio_child_over_parent
visual_grounding,vision_early,vision,0.0035698828543799426,0.0,0.0,,0.0,0.0,
visual_grounding,vision_early,vision,0.017849414271899712,0.0,0.0,,0.0,0.0,
visual_grounding,vision_early,vision,0.07139765708759885,0.0625,0.328125,0.19047619047619047,0.0012500000000000011,0.006562500000000006,0.19047619047619047
visual_grounding,vision_mid,vision,0.0035698828543799426,0.0,0.0,,0.0,0.0,
visual_grounding,vision_mid,vision,0.017849414271899712,0.0,0.0,,0.0,0.0,
visual_grounding,vision_mid,vision,0.07139765708759885,0.0625,0.328125,0.19047619047619047,0.0012500000000000011,0.006562500000000006,0.19047619047619047
visual_grounding,vision_late,vision,0.0035698828543799426,0.0,0.0,,0.0,0.0,
visual_grounding,vision_late,vision,0.017849414271899712,0.0,0.0,,0.0,0.0,
visual_grounding,vision_late,vision,0.07139765708759885,0.046875,0.328125,0.14285714285714285,0.0009375000000000008,0.006562500000000006,0.14285714285714285
visual_grounding,language_early,language,0.0035698828543799426,0.0,0.0,,0.0,0.0,
visual_grounding,language_early,language,0.017849414271899712,0.015625,0.015625,1.0,0.0003125000000000003,0.0003125000000000003,1.0
visual_grounding,language_early,language,0.07139765708759885,0.234375,0.203125,1.1538461538461537,0.005312500000000005,0.004062500000000004,1.3076923076923077
visual_grounding,language_mid,language,0.0035698828543799426,0.0,0.0,,0.0,0.0,
visual_grounding,language_mid,language,0.017849414271899712,0.0,0.015625,0.0,0.0,0.0003125000000000003,0.0
visual_grounding,language_mid,language,0.07139765708759885,0.078125,0.203125,0.38461538461538464,0.0015625000000000014,0.004062500000000004,0.38461538461538464
visual_grounding,language_late,language,0.0035698828543799426,0.0,0.0,,0.0,0.0,
visual_grounding,language_late,language,0.017849414271899712,0.0,0.015625,0.0,0.0,0.0003125000000000003,0.0
visual_grounding,language_late,language,0.07139765708759885,0.203125,0.203125,1.0,0.004062500000000004,0.004062500000000004,1.0
counting,vision_early,vision,0.0035698828543799426,0.0,0.0,,0.00843749999999996,0.00843749999999996,1.0
